Herbicide,Type,Crop,Herb,Total,Perc
EPSPS-R,Current crop,Corn,EPSPS,3,60
EPSPS-R,Current crop,Sorghum,EPSPS,0,0
EPSPS-R,Current crop,Wheat,EPSPS,0,0
EPSPS-R,Current crop,Fallow/cornstalks,EPSPS,0,0
EPSPS-R,Current crop,Other,EPSPS,0,0
EPSPS-R,Current crop,Soybean,EPSPS,2,40
EPSPS-RS,Current crop,Sorghum,EPSPS,2,7
EPSPS-RS,Current crop,Fallow/cornstalks,EPSPS,0,0
EPSPS-RS,Current crop,Corn,EPSPS,8,30
EPSPS-RS,Current crop,Soybean,EPSPS,13,48
EPSPS-RS,Current crop,Wheat,EPSPS,2,7
EPSPS-RS,Current crop,Other,EPSPS,2,7
EPSPS-S,Current crop,Corn,EPSPS,5,26
EPSPS-S,Current crop,Wheat,EPSPS,0,0
EPSPS-S,Current crop,Other,EPSPS,5,26
EPSPS-S,Current crop,Sorghum,EPSPS,4,21
EPSPS-S,Current crop,Soybean,EPSPS,3,16
EPSPS-S,Current crop,Fallow/cornstalks,EPSPS,2,11
EPSPS-R,Previous crop,Corn,EPSPS,3,60
EPSPS-R,Previous crop,Sorghum,EPSPS,1,20
EPSPS-R,Previous crop,Soybean,EPSPS,0,0
EPSPS-R,Previous crop,Wheat,EPSPS,0,0
EPSPS-R,Previous crop,Other,EPSPS,0,0
EPSPS-R,Previous crop,Fallow/cornstalks,EPSPS,1,20
EPSPS-RS,Previous crop,Corn,EPSPS,12,52
EPSPS-RS,Previous crop,Soybean,EPSPS,0,0
EPSPS-RS,Previous crop,Fallow/cornstalks,EPSPS,5,22
EPSPS-RS,Previous crop,Wheat,EPSPS,5,22
EPSPS-RS,Previous crop,Sorghum,EPSPS,0,0
EPSPS-RS,Previous crop,Other,EPSPS,1,4
EPSPS-S,Previous crop,Corn,EPSPS,5,29
EPSPS-S,Previous crop,Other,EPSPS,1,6
EPSPS-S,Previous crop,Sorghum,EPSPS,2,12
EPSPS-S,Previous crop,Wheat,EPSPS,4,24
EPSPS-S,Previous crop,Fallow/cornstalks,EPSPS,5,29
EPSPS-S,Previous crop,Soybean,EPSPS,0,0
PPO-R,Current crop,Corn,PPO,2,29
PPO-R,Current crop,Sorghum,PPO,3,43
PPO-R,Current crop,Wheat,PPO,0,0
PPO-R,Current crop,Fallow/cornstalks,PPO,0,0
PPO-R,Current crop,Other,PPO,0,0
PPO-R,Current crop,Soybean,PPO,2,29
PPO-RS,Current crop,Sorghum,PPO,0,0
PPO-RS,Current crop,Fallow/cornstalks,PPO,1,4
PPO-RS,Current crop,Corn,PPO,9,33
PPO-RS,Current crop,Soybean,PPO,9,33
PPO-RS,Current crop,Wheat,PPO,2,7
PPO-RS,Current crop,Other,PPO,6,22
PPO-S,Current crop,Corn,PPO,5,29
PPO-S,Current crop,Wheat,PPO,0,0
PPO-S,Current crop,Other,PPO,1,6
PPO-S,Current crop,Sorghum,PPO,3,18
PPO-S,Current crop,Soybean,PPO,7,41
PPO-S,Current crop,Fallow/cornstalks,PPO,1,6
PPO-R,Previous crop,Corn,PPO,1,20
PPO-R,Previous crop,Sorghum,PPO,0,0
PPO-R,Previous crop,Soybean,PPO,0,0
PPO-R,Previous crop,Wheat,PPO,1,20
PPO-R,Previous crop,Other,PPO,1,20
PPO-R,Previous crop,Fallow/cornstalks,PPO,2,40
PPO-RS,Previous crop,Corn,PPO,12,46
PPO-RS,Previous crop,Soybean,PPO,0,0
PPO-RS,Previous crop,Fallow/cornstalks,PPO,6,23
PPO-RS,Previous crop,Wheat,PPO,4,15
PPO-RS,Previous crop,Sorghum,PPO,3,12
PPO-RS,Previous crop,Other,PPO,1,4
PPO-S,Previous crop,Corn,PPO,7,50
PPO-S,Previous crop,Other,PPO,0,0
PPO-S,Previous crop,Sorghum,PPO,0,0
PPO-S,Previous crop,Wheat,PPO,4,29
PPO-S,Previous crop,Fallow/cornstalks,PPO,3,21
PPO-S,Previous crop,Soybean,PPO,0,0