Population,Herbicide,Resistance,Latitude,Longitude
Red.1,Glyphosate,No,40.253016,-100.735672
Red.2,Glyphosate,Yes,40.183597,-100.697959
Red.3,Glyphosate,No,40.119661,-100.561002
Red.4,Glyphosate,Yes,40.089701,-100.458605
Red.5,Glyphosate,No,40.206921,-100.497
Fro.1,Glyphosate,No,40.585022,-100.47665
Fro.2,Glyphosate,Yes,40.540969,-100.398143
Fro.3,Glyphosate,Yes,40.540899,-100.263293
Fro.4,Glyphosate,Yes,40.42332,-100.481296
Fro.5,Glyphosate,No,40.416201,-100.585716
Hay.1,Glyphosate,Yes,40.622278,-100.818085
Hay.2,Glyphosate,No,40.625317,-101.036986
Hay.3,Glyphosate,Yes,40.569543,-101.073034
Hay.4,Glyphosate,Yes,40.415382,-101.055879
Hay.5,Glyphosate,No,40.424524,-101.004149
Hit.1,Glyphosate,No,40.335389,-101.139517
Hit.2,Glyphosate,No,40.284923,-101.123414
Hit.3,Glyphosate,Yes,40.216374,-101.124232
Hit.4,Glyphosate,No,40.219716,-100.933308
Hit.5,Glyphosate,Yes,40.20569,-100.826568
Per.1,Glyphosate,No,40.885212,-101.84097
Per.2,Glyphosate,No,40.881178,-101.840939
Per.3,Glyphosate,No,40.814409,-101.775249
Per.4,Glyphosate,No,40.852538,-101.706116
Per.5,Glyphosate,No,40.843726,-101.623288
Per.6,Glyphosate,Yes,40.843834,-101.575231
Lin.1,Glyphosate,Yes,41.070242,-100.523869
Lin.2,Glyphosate,No,41.04679,-100.597546
Lin.4,Glyphosate,Yes,41.090601,-100.781644
Lin.5,Glyphosate,No,41.082532,-100.848936
Kei.1,Glyphosate,No,41.163793,-101.443197
Kei.2,Glyphosate,No,41.170795,-101.477058
Kei.3,Glyphosate,No,41.112656,-101.814853
Kei.4,Glyphosate,No,41.105328,-101.854665
Kei.5,Glyphosate,Yes,41.072661,-101.883254
Kei.6,Glyphosate,No,41.090923,-101.7586
Log.1,Glyphosate,No,41.407938,-100.473926
Log.2,Glyphosate,No,41.408019,-100.407051
Log.3,Glyphosate,No,41.407927,-100.391383
Log.4,Glyphosate,Yes,41.382704,-100.446747
Cha.1,Glyphosate,No,40.685468,-101.62101
Cha.2,Glyphosate,No,40.634612,-101.590776
Cha.3,Glyphosate,No,40.566647,-101.631201
Cha.4,Glyphosate,No,40.566638,-101.699424
Cha.5,Glyphosate,No,40.557448,-101.760667
Dun.1,Glyphosate,No,40.144524,-101.415029
Dun.2,Glyphosate,No,40.163365,-101.526339
Dun.3,Glyphosate,Yes,40.162482,-101.570355
Dun.4,Glyphosate,No,40.173475,-101.644362
Dun.5,Glyphosate,Yes,40.14808,-101.734971
Red.1,PPO,No,40.253016,-100.735672
Red.2,PPO,No,40.183597,-100.697959
Red.3,PPO,No,40.119661,-100.561002
Red.4,PPO,No,40.089701,-100.458605
Red.5,PPO,No,40.206921,-100.497
Fro.1,PPO,No,40.585022,-100.47665
Fro.2,PPO,No,40.540969,-100.398143
Fro.3,PPO,No,40.540899,-100.263293
Fro.4,PPO,No,40.42332,-100.481296
Fro.5,PPO,No,40.416201,-100.585716
Hay.1,PPO,No,40.622278,-100.818085
Hay.2,PPO,No,40.625317,-101.036986
Hay.3,PPO,No,40.569543,-101.073034
Hay.4,PPO,No,40.415382,-101.055879
Hay.5,PPO,No,40.424524,-101.004149
Hit.1,PPO,No,40.335389,-101.139517
Hit.2,PPO,No,40.284923,-101.123414
Hit.3,PPO,No,40.216374,-101.124232
Hit.4,PPO,No,40.219716,-100.933308
Hit.5,PPO,No,40.20569,-100.826568
Per.1,PPO,No,40.885212,-101.84097
Per.2,PPO,No,40.881178,-101.840939
Per.3,PPO,No,40.814409,-101.775249
Per.4,PPO,No,40.852538,-101.706116
Per.5,PPO,No,40.843726,-101.623288
Per.6,PPO,No,40.843834,-101.575231
Lin.1,PPO,No,41.070242,-100.523869
Lin.2,PPO,No,41.04679,-100.597546
Lin.4,PPO,No,41.090601,-100.781644
Lin.5,PPO,No,41.082532,-100.848936
Kei.1,PPO,No,41.163793,-101.443197
Kei.2,PPO,No,41.170795,-101.477058
Kei.3,PPO,No,41.112656,-101.814853
Kei.4,PPO,No,41.105328,-101.854665
Kei.5,PPO,No,41.072661,-101.883254
Kei.6,PPO,No,41.090923,-101.7586
Log.1,PPO,No,41.407938,-100.473926
Log.2,PPO,No,41.408019,-100.407051
Log.3,PPO,No,41.407927,-100.391383
Log.4,PPO,No,41.382704,-100.446747
Cha.1,PPO,No,40.685468,-101.62101
Cha.2,PPO,No,40.634612,-101.590776
Cha.3,PPO,No,40.566647,-101.631201
Cha.4,PPO,No,40.566638,-101.699424
Cha.5,PPO,No,40.557448,-101.760667
Dun.1,PPO,No,40.144524,-101.415029
Dun.2,PPO,No,40.163365,-101.526339
Dun.3,PPO,No,40.162482,-101.570355
Dun.4,PPO,No,40.173475,-101.644362
Dun.5,PPO,No,40.14808,-101.734971