sample,rep,epsps,ppo,ppo2
Cha 1,1,0,no,none
Cha 1,2,23,no,none
Cha 1,3,1,no,none
Cha 1,4,1,no,none
Cha 1,5,1,no,none
Cha 2,1,1,no,none
Cha 2,2,1,no,none
Cha 2,3,1,no,none
Cha 2,4,3,no,none
Cha 2,5,1,no,none
Cha 3,1,10,no,none
Cha 3,2,9,no,none
Cha 3,3,15,no,none
Cha 3,4,12,no,none
Cha 3,5,1,no,none
Cha 4,1,1,no,none
Cha 4,2,19,no,none
Cha 4,3,26,yes,R128G het
Cha 4,4,1,no,none
Cha 4,5,1,no,none
Cha 5,1,1,no,none
Cha 5,2,1,yes,X
Cha 5,3,1,no,none
Dun 1,1,3,no,none
Dun 1,2,18,yes,X
Dun 1,3,1,no,none
Dun 1,4,3,no,none
Dun 1,5,1,no,none
Dun 2,1,1,no,none
Dun 2,2,1,yes,X
Dun 2,3,1,no,none
Dun 3,1,1,yes,X
Dun 3,2,1,yes,X
Dun 3,3,1,no,none
Dun 4,1,10,no,none
Dun 4,2,4,no,none
Dun 4,3,6,no,none
Dun 4,4,5,no,none
Dun 4,5,8,no,none
Dun 5,1,48,yes,X
Dun 5,2,4,no,none
Dun 5,3,6,no,none
Dun 5,4,51,no,none
Dun 5,5,13,no,none
Fro 1,1,10,no,none
Fro 1,2,3,no,none
Fro 1,3,5,yes,X
Fro 2,1,6,yes,X
Fro 2,2,1,yes,X
Fro 2,3,1,yes,X
Fro 3,1,2,yes,X
Fro 3,2,11,no,none
Fro 3,3,1,yes,X
Fro 4,1,1,yes,X
Fro 4,2,1,yes,X
Fro 4,3,1,yes,X
Fro 5,1,1,no,none
Fro 5,2,1,no,none
Fro 5,3,2,no,none
Fro 5,4,1,no,none
Fro 5,5,1,no,none
Hay 1,1,1,yes,X
Hay 1,2,1,yes,X
Hay 1,3,1,yes,X
Hay 2,1,3,no,none
Hay 2,2,1,yes,X
Hay 2,3,1,no,none
Hay 3,1,2,yes,X
Hay 3,2,2,yes,X
Hay 3,3,1,yes,X
Hay 4,1,1,yes,X
Hay 4,2,1,yes,X
Hay 4,3,1,no,none
Hay 5,1,1,no,none
Hay 5,2,1,no,none
Hay 5,3,1,no,none
Hay 5,4,0,no,none
Hay 5,5,1,no,none
Hit 1,1,1,no,none
Hit 1,2,1,no,none
Hit 1,3,1,no,none
Hit 1,4,1,no,none
Hit 1,5,20,no,none
Hit 2,1,1,no,none
Hit 2,2,57,no,none
Hit 2,3,3,no,none
Hit 3,1,1,yes,X
Hit 3,2,1,no,none
Hit 3,3,6,no,none
Hit 4,1,1,no,none
Hit 4,2,3,no,none
Hit 4,3,1,no,none
Hit 4,4,0,no,none
Hit 4,5,2,no,none
Hit 5,1,1,yes,X
Hit 5,2,1,no,none
Hit 5,3,1,no,none
Kei 1,1,1,no,none
Kei 1,2,38,yes,X
Kei 1,3,1,no,none
Kei 2,1,19,no,none
Kei 2,2,7,yes,X
Kei 2,3,11,no,none
Kei 3,1,1,no,none
Kei 3,2,1,no,none
Kei 3,3,1,no,none
Kei 3,4,1,no,none
Kei 3,5,1,no,none
Kei 4,1,1,no,none
Kei 4,2,1,no,none
Kei 4,3,7,no,none
Kei 4,4,10,no,none
Kei 4,5,18,no,none
Kei 5,1,6,yes,X
Kei 5,2,8,no,none
Kei 5,3,1,yes,X
Kei 6,1,10,no,none
Kei 6,2,13,no,none
Kei 6,3,21,no,none
Kei 6,4,2,no,none
Kei 6,5,40,no,none
Lin 1,1,1,yes,X
Lin 1,2,2,yes,X
Lin 1,3,1,yes,X
Lin 2,1,3,no,none
Lin 2,2,6,yes,X
Lin 2,3,6,yes,X
Lin 3,1,6,yes,X
Lin 3,2,1,yes,X
Lin 3,3,4,yes,X
Lin 4,1,6,yes,X
Lin 4,2,1,yes,X
Lin 4,3,2,yes,X
Lin 5,1,1,no,none
Lin 5,2,1,no,none
Lin 5,3,1,no,none
Lin 5,4,1,no,none
Lin 5,5,1,no,none
Log 1,1,57,no,none
Log 1,2,43,no,none
Log 1,3,2,yes,X
Log 2,1,1,no,none
Log 2,2,1,no,none
Log 2,3,1,no,none
Log 3,1,4,no,none
Log 3,2,7,yes,X
Log 3,3,1,no,none
Log 4,1,6,yes,X
Log 4,2,3,no,none
Log 4,3,1,yes,X
Per 1,1,1,no,none
Per 1,2,1,no,none
Per 1,3,1,yes,X
Per 2,1,49,no,none
Per 2,2,44,no,none
Per 2,3,59,no,none
Per 2,4,5,no,none
Per 2,5,1,no,none
Per 3,1,1,no,none
Per 3,2,1,no,none
Per 3,3,1,yes,X
Per 4,p,22,no,none
Per 4,2,1,no,none
Per 4,3,7,no,none
Per 5,1,1,no,none
Per 5,2,1,yes,X
Per 5,3,2,no,none
Per 6,1,1,yes,X
Per 6,2,2,no,none
Per 6,3,1,no,none
Red 1,1,3,no,none
Red 1,2,1,no,none
Red 1,3,1,yes,X
Red 2,1,1,yes,X
Red 2,2,1,yes,X
Red 2,3,3,no,none
Red 3,1,1,no,none
Red 3,2,1,no,none
Red 3,3,1,no,none
Red 3,4,1,yes,R128G het
Red 3,5,6,no,none
Red 4,1,1,yes,X
Red 4,2,5,yes,X
Red 4,3,1,no,none
Red 5,1,1,no,none
Red 5,2,2,no,none
Red 5,3,1,no,none
Red 5,4,1,no,none
Red 5,5,1,no,none