resistant,species,crop,tillage,irrigation,distribution,county
no,Redroot,corn,no,no,field,burt
no,Redroot,wheat,yes,no,field,cheyenne
no,Redroot,corn,yes,yes,field,custer
no,Redroot,corn,no,no,edges,dakota
no,Redroot,corn,yes,no,field,deuel
no,Redroot,corn,yes,no,field,dixon
no,Redroot,corn,yes,yes,field,greeley
no,Redroot,corn,yes,no,field,greeley
no,Redroot,corn,no,no,edges,hayes
no,Redroot,,,,,knox
no,Redroot,,,,,knox
no,Redroot,corn,no,yes,,morril
no,Redroot,sorghum,yes,no,field,morril
no,Redroot,corn,yes,no,edges,nance
no,Redroot,corn,yes,no,field,sherman
no,Redroot,soybean,no,yes,field,sherman
no,Redroot,corn,yes,no,edges,sherman
no,Redroot,soybean,yes,yes,field,valley
no,Redroot,soybean,yes,no,field,valley
no,Palmer,soybean,yes,yes,edges,buffalo
no,Palmer,corn,yes,yes,edges,buffalo
no,Palmer,corn,yes,yes,edges,buffalo
no,Palmer,corn,no,yes,field,chase
no,Palmer,corn,no,yes,edges,chase
no,Palmer,corn,no,yes,field,chase
no,Palmer,,,,,chase
no,Palmer,corn,,no,,cheyenne
no,Palmer,corn,yes,yes,field,colfax
no,Palmer,alfalfa,yes,no,field,custer
no,Palmer,corn,yes,no,field,custer
no,Palmer,corn,yes,no,field,custer
no,Palmer,corn,yes,no,field,custer
no,Palmer,corn,yes,yes,field,custer
no,Palmer,corn,no,yes,edges,dawson
no,Palmer,corn,yes,no,field,dundy
no,Palmer,corn,yes,yes,field,dundy
no,Palmer,soybean,yes,yes,field,fillmore
no,Palmer,soybean,yes,yes,field,fillmore
no,Palmer,corn,no,no,edges,frontier
no,Palmer,soybean,yes,no,field,frontier
no,Palmer,corn,yes,no,edges,frontier
no,Palmer,sorghum,no,no,edges,gosper
no,Palmer,corn,yes,no,edges,gosper
no,Palmer,corn,yes,yes,field,greeley
no,Palmer,corn,no,yes,edges,hall
no,Palmer,soybean,yes,yes,field,hall
no,Palmer,corn,no,no,field,hamilton
no,Palmer,corn,no,no,field,hitchcock
no,Palmer,corn,yes,yes,edges,kearney
no,Palmer,corn,yes,yes,edges,kearney
no,Palmer,corn,yes,yes,field,keith
no,Palmer,corn,no,yes,field,keith
no,Palmer,soybean,yes,yes,edges,keith
no,Palmer,corn,no,yes,field,lincoln
no,Palmer,corn,yes,no,edges,lincoln
no,Palmer,corn,yes,yes,edges,merrick
no,Palmer,corn,no,yes,field,merrick
no,Palmer,soybean,yes,yes,,morril
no,Palmer,corn,yes,no,field,nance
no,Palmer,corn,no,yes,edges,perkins
no,Palmer,soybean,yes,yes,field,phelps
no,Palmer,soybean,yes,yes,edges,phelps
no,Palmer,soybean,yes,yes,edges,phelps
no,Palmer,wheat,no,no,field,saline
no,Palmer,soybean,no,yes,edges,thayer
no,Palmer,corn,yes,no,field,valley
no,Palmer,wheat,no,no,field,perkins
no,Palmer,sorghum,yes,no,field,hayes
no,Palmer,corn,no,yes,edges,keith
no,Palmer,corn,no,yes,field,perkins
no,Palmer,corn,yes,yes,edges,dawson
no,Palmer,corn,yes,no,field,dundy
no,Palmer,corn,yes,yes,field,lincoln
no,Palmer,corn,no,yes,edges,dawson
no,Palmer,corn,no,no,edges,hitchcock
no,Palmer,corn,no,no,field,frontier
no,Palmer,corn,no,no,field,hitchcock
no,Palmer,corn,no,no,field,furnas
no,Palmer,sorghum,no,no,field,furnas
no,Palmer,soybean,yes,no,field,greeley
no,Palmer,corn,no,no,field,harlan
no,Palmer,corn,no,no,field,perkins
no,Palmer,corn,no,no,edges,red willow
no,Palmer,soybean,yes,yes,field,custer
no,Palmer,corn,yes,yes,edges,lincoln
no,Palmer,corn,,,,deuel
no,Palmer,corn,no,yes,field,red willow
no,Palmer,corn,no,no,edges,chase
no,Palmer,corn,yes,yes,edges,chase
no,Palmer,corn,no,yes,edges,lincoln
no,Palmer,sorghum,yes,yes,edges,frontier
no,Palmer,,,,field,lincoln
no,Palmer,corn,,no,edges,harlan
no,Palmer,soybean,yes,yes,edges,dawson
no,Palmer,corn,no,no,edges,red willow
no,Palmer,soybean,yes,yes,edges,buffalo
no,Palmer,corn,no,yes,edges,frontier
no,Palmer,soybean,no,yes,edges,perkins
no,Palmer,soybean,no,no,edges,pawnee
no,Palmer,corn,no,no,field,red willow
no,Palmer,,,,edges,kearney
no,Palmer,sorghum,yes,no,field,lincoln
no,Waterhemp,corn,no,no,field,dixon
no,Waterhemp,corn,no,,edges,thayer
no,Palmer,soybean,no,yes,edges,fillmore
no,Palmer,soybean,yes,no,edges,hall
no,Waterhemp,soybean,no,no,edges,jefferson
no,Waterhemp,corn,yes,no,field,cuming
no,Waterhemp,soybean,no,no,field,butler
no,Waterhemp,corn,yes,no,field,polk
no,Waterhemp,soybean,no,no,field,jefferson
no,Waterhemp,soybean,yes,no,field,hamilton
no,Waterhemp,soybean,no,no,field,gage
no,Waterhemp,soybean,no,no,edges,jefferson
no,Waterhemp,soybean,no,yes,edges,thayer
no,Waterhemp,soybean,yes,yes,,hamilton
no,Waterhemp,soybean,yes,yes,field,fillmore
no,Waterhemp,soybean,yes,no,field,butler
no,Waterhemp,corn,no,yes,edges,thayer
no,Waterhemp,soybean,no,no,edges,washington
no,Waterhemp,soybean,no,no,field,richardson
no,Waterhemp,soybean,no,no,field,saline
no,Waterhemp,soybean,yes,no,edges,pawnee
no,Waterhemp,soybean,no,no,field,cuming
no,Waterhemp,soybean,yes,no,field,burt
no,Waterhemp,soybean,yes,no,edges,saunders
no,Waterhemp,soybean,yes,yes,field,antelope
no,Waterhemp,soybean,,,edges,fillmore
no,Waterhemp,corn,yes,no,field,burt
no,Waterhemp,soybean,yes,yes,field,fillmore
no,Waterhemp,soybean,,,field,thayer
no,Waterhemp,soybean,yes,no,field,richardson
no,Waterhemp,soybean,yes,no,edges,cass
no,Waterhemp,soybean,,no,edges,saunders
no,Waterhemp,soybean,no,no,edges,sarpy
no,Palmer,soybean,no,yes,field,antelope
no,Palmer,alfalfa,no,no,field,thayer
no,Waterhemp,soybean,no,no,field,cuming
no,Waterhemp,corn,no,no,edges,lancaster
no,Waterhemp,soybean,no,yes,field,cuming
no,Waterhemp,soybean,no,no,field,saunders
no,Waterhemp,soybean,yes,no,field,fillmore
no,Waterhemp,soybean,no,no,field,washington
no,Waterhemp,soybean,yes,no,field,dodge
no,Waterhemp,soybean,no,no,field,saline
no,Waterhemp,soybean,no,no,field,saline
no,Waterhemp,corn,yes,no,field,dodge
no,Waterhemp,soybean,no,no,edges,richardson
no,Waterhemp,soybean,no,no,edges,cass
no,Waterhemp,soybean,yes,no,field,sarpy
no,Waterhemp,soybean,no,no,field,richardson
no,Waterhemp,soybean,no,no,edges,otoe
no,Waterhemp,soybean,no,no,field,richardson
no,Waterhemp,soybean,no,no,field,washington
no,Waterhemp,soybean,no,no,field,pawnee
no,Waterhemp,soybean,no,no,field,otoe
no,Waterhemp,corn,no,no,field,gage
no,Waterhemp,soybean,no,no,field,lancaster
no,Waterhemp,soybean,no,no,field,jefferson
no,Palmer,corn,no,no,field,furnas
yes,Waterhemp,soybean,no,no,field,richardson
yes,Waterhemp,soybean,no,no,field,cuming
yes,Waterhemp,soybean,no,no,edges,cass
yes,Waterhemp,soybean,yes,no,field,otoe
yes,Waterhemp,soybean,no,no,field,pawnee
yes,Waterhemp,soybean,no,no,field,lancaster
yes,Waterhemp,soybean,no,no,field,sarpy
yes,Waterhemp,soybean,yes,no,field,dakota
yes,Waterhemp,corn,,no,field,burt
yes,Waterhemp,soybean,yes,,field,butler
yes,Waterhemp,corn,yes,no,field,dodge
yes,Palmer,soybean,yes,yes,field,buffalo
yes,Waterhemp,soybean,no,no,field,johnson
yes,Waterhemp,soybean,yes,no,field,washington
yes,Waterhemp,soybean,no,no,field,washington
yes,Waterhemp,soybean,no,no,field,dodge
yes,Waterhemp,soybean,no,no,edges,jefferson
yes,Waterhemp,soybean,no,no,field,lancaster
yes,Waterhemp,soybean,no,no,field,lancaster
yes,Waterhemp,soybean,yes,no,field,cass
yes,Waterhemp,corn,no,no,field,burt
yes,Palmer,soybean,no,no,edges,richardson
yes,Waterhemp,soybean,no,no,field,sarpy
yes,Waterhemp,soybean,yes,yes,field,fillmore
yes,Waterhemp,soybean,no,no,field,pawnee
yes,Waterhemp,soybean,,no,field,washington
yes,Waterhemp,soybean,no,yes,field,polk
yes,Waterhemp,corn,yes,no,field,colfax
yes,Palmer,soybean,yes,no,field,hall
yes,Waterhemp,soybean,no,no,field,pawnee
yes,Waterhemp,soybean,no,no,field,johnson
yes,Waterhemp,soybean,no,no,field,dodge
yes,Waterhemp,soybean,no,no,edges,cass
yes,Waterhemp,soybean,no,no,edges,cass
yes,Waterhemp,soybean,yes,no,field,cass
yes,Waterhemp,soybean,yes,yes,field,fillmore
yes,Waterhemp,soybean,no,no,field,johnson
yes,Waterhemp,soybean,no,no,edges,johnson
yes,Waterhemp,soybean,yes,no,edges,otoe
yes,Waterhemp,soybean,no,no,field,otoe
yes,Waterhemp,soybean,no,no,field,sarpy
