ratio label,species,crop,tillage,irrigation,distribution,county
0.4365,Waterhemp,soybean,yes,yes,field,antelope
0.5388,Palmer,soybean,no,yes,field,antelope
0.0050,Palmer,soybean,yes,yes,edges,buffalo
0.0050,Palmer,corn,yes,yes,edges,buffalo
0.0050,Palmer,corn,yes,yes,edges,buffalo
0.0261,Palmer,soybean,yes,yes,edges,buffalo
1.3803,Palmer,soybean,yes,yes,field,buffalo
0.4217,Waterhemp,soybean,yes,no,field,burt
0.4675,Waterhemp,corn,yes,no,field,burt
1.2401,Waterhemp,corn,,no,field,burt
1.8028,Waterhemp,corn,no,no,field,burt
0.0000,Redroot,corn,no,no,field,burt
0.2076,Waterhemp,soybean,no,no,field,butler
0.2692,Waterhemp,soybean,yes,no,field,butler
1.2987,Waterhemp,soybean,yes,,field,butler
0.5246,Waterhemp,soybean,yes,no,edges,cass
0.7620,Waterhemp,soybean,no,no,edges,cass
1.0549,Waterhemp,soybean,no,no,edges,cass
1.7804,Waterhemp,soybean,yes,no,field,cass
4.0000,Waterhemp,soybean,no,no,edges,cass
4.0000,Waterhemp,soybean,no,no,edges,cass
4.0000,Waterhemp,soybean,yes,no,field,cass
0.0050,Palmer,corn,no,yes,field,chase
0.0050,Palmer,corn,no,yes,edges,chase
0.0050,Palmer,corn,no,yes,field,chase
0.0050,Palmer,,,,,chase
0.0209,Palmer,corn,no,no,edges,chase
0.0209,Palmer,corn,yes,yes,edges,chase
0.0050,Palmer,corn,,no,,cheyenne
0.0000,Redroot,wheat,yes,no,field,cheyenne
2.5533,Waterhemp,corn,yes,no,field,colfax
0.0050,Palmer,corn,yes,yes,field,colfax
0.1855,Waterhemp,corn,yes,no,field,cuming
0.4039,Waterhemp,soybean,no,no,field,cuming
0.5704,Waterhemp,soybean,no,no,field,cuming
0.5843,Waterhemp,soybean,no,yes,field,cuming
1.0308,Waterhemp,soybean,no,no,field,cuming
0.0050,Palmer,alfalfa,yes,no,field,custer
0.0050,Palmer,corn,yes,no,field,custer
0.0050,Palmer,corn,yes,no,field,custer
0.0050,Palmer,corn,yes,no,field,custer
0.0050,Palmer,corn,yes,yes,field,custer
0.0158,Palmer,soybean,yes,yes,field,custer
0.0000,Redroot,corn,yes,yes,field,custer
1.2364,Waterhemp,soybean,yes,no,field,dakota
0.0000,Redroot,corn,no,no,edges,dakota
0.0050,Palmer,corn,no,yes,edges,dawson
0.0105,Palmer,corn,yes,yes,edges,dawson
0.0117,Palmer,corn,no,yes,edges,dawson
0.0234,Palmer,soybean,yes,yes,edges,dawson
0.0187,Palmer,corn,,,,deuel
0.0000,Redroot,corn,yes,no,field,deuel
0.1099,Waterhemp,corn,no,no,field,dixon
0.0000,Redroot,corn,yes,no,field,dixon
0.6533,Waterhemp,soybean,yes,no,field,dodge
0.7387,Waterhemp,corn,yes,no,field,dodge
1.3512,Waterhemp,corn,yes,no,field,dodge
1.5845,Waterhemp,soybean,no,no,field,dodge
3.8575,Waterhemp,soybean,no,no,field,dodge
0.0050,Palmer,corn,yes,no,field,dundy
0.0050,Palmer,corn,yes,yes,field,dundy
0.0107,Palmer,corn,yes,no,field,dundy
0.2691,Waterhemp,soybean,yes,yes,field,fillmore
0.4438,Waterhemp,soybean,,,edges,fillmore
0.4705,Waterhemp,soybean,yes,yes,field,fillmore
0.5912,Waterhemp,soybean,yes,no,field,fillmore
2.2674,Waterhemp,soybean,yes,yes,field,fillmore
4.0000,Waterhemp,soybean,yes,yes,field,fillmore
0.0050,Palmer,soybean,yes,yes,field,fillmore
0.0050,Palmer,soybean,yes,yes,field,fillmore
0.1191,Palmer,soybean,no,yes,edges,fillmore
0.0050,Palmer,corn,no,no,edges,frontier
0.0050,Palmer,soybean,yes,no,field,frontier
0.0050,Palmer,corn,yes,no,edges,frontier
0.0127,Palmer,corn,no,no,field,frontier
0.0219,Palmer,sorghum,yes,yes,edges,frontier
0.0293,Palmer,corn,no,yes,edges,frontier
0.0135,Palmer,corn,no,no,field,furnas
0.0140,Palmer,sorghum,no,no,field,furnas
0.9881,Palmer,corn,no,no,field,furnas
0.2517,Waterhemp,soybean,no,no,field,gage
0.9273,Waterhemp,corn,no,no,field,gage
0.0050,Palmer,sorghum,no,no,edges,gosper
0.0050,Palmer,corn,yes,no,edges,gosper
0.0050,Palmer,corn,yes,yes,field,greeley
0.0144,Palmer,soybean,yes,no,field,greeley
0.0000,Redroot,corn,yes,yes,field,greeley
0.0000,Redroot,corn,yes,no,field,greeley
0.0050,Palmer,corn,no,yes,edges,hall
0.0050,Palmer,soybean,yes,yes,field,hall
0.1656,Palmer,soybean,yes,no,edges,hall
2.7217,Palmer,soybean,yes,no,field,hall
0.2469,Waterhemp,soybean,yes,no,field,hamilton
0.2601,Waterhemp,soybean,yes,yes,,hamilton
0.0050,Palmer,corn,no,no,field,hamilton
0.0144,Palmer,corn,no,no,field,harlan
0.0232,Palmer,corn,,no,edges,harlan
0.0094,Palmer,sorghum,yes,no,field,hayes
0.0000,Redroot,corn,no,no,edges,hayes
0.0050,Palmer,corn,no,no,field,hitchcock
0.0123,Palmer,corn,no,no,edges,hitchcock
0.0133,Palmer,corn,no,no,field,hitchcock
0.1827,Waterhemp,soybean,no,no,edges,jefferson
0.2210,Waterhemp,soybean,no,no,field,jefferson
0.2588,Waterhemp,soybean,no,no,edges,jefferson
0.9645,Waterhemp,soybean,no,no,field,jefferson
1.6306,Waterhemp,soybean,no,no,edges,jefferson
1.4017,Waterhemp,soybean,no,no,field,johnson
3.3530,Waterhemp,soybean,no,no,field,johnson
4.0000,Waterhemp,soybean,no,no,field,johnson
4.0000,Waterhemp,soybean,no,no,edges,johnson
0.0050,Palmer,corn,yes,yes,edges,kearney
0.0050,Palmer,corn,yes,yes,edges,kearney
0.0396,Palmer,,,,edges,kearney
0.0050,Palmer,corn,yes,yes,field,keith
0.0050,Palmer,corn,no,yes,field,keith
0.0050,Palmer,soybean,yes,yes,edges,keith
0.0098,Palmer,corn,no,yes,edges,keith
0.0000,Redroot,,,,,knox
0.0000,Redroot,,,,,knox
0.5812,Waterhemp,corn,no,no,edges,lancaster
0.9359,Waterhemp,soybean,no,no,field,lancaster
1.1828,Waterhemp,soybean,no,no,field,lancaster
1.6404,Waterhemp,soybean,no,no,field,lancaster
1.6554,Waterhemp,soybean,no,no,field,lancaster
0.0050,Palmer,corn,no,yes,field,lincoln
0.0050,Palmer,corn,yes,no,edges,lincoln
0.0109,Palmer,corn,yes,yes,field,lincoln
0.0166,Palmer,corn,yes,yes,edges,lincoln
0.0212,Palmer,corn,no,yes,edges,lincoln
0.0224,Palmer,,,,field,lincoln
0.1087,Palmer,sorghum,yes,no,field,lincoln
0.0050,Palmer,corn,yes,yes,edges,merrick
0.0050,Palmer,corn,no,yes,field,merrick
0.0050,Palmer,soybean,yes,yes,,morril
0.0000,Redroot,corn,no,yes,,morril
0.0000,Redroot,sorghum,yes,no,field,morril
0.0050,Palmer,corn,yes,no,field,nance
0.0000,Redroot,corn,yes,no,edges,nance
0.8415,Waterhemp,soybean,no,no,edges,otoe
0.9223,Waterhemp,soybean,no,no,field,otoe
1.1368,Waterhemp,soybean,yes,no,field,otoe
4.0000,Waterhemp,soybean,yes,no,edges,otoe
4.0000,Waterhemp,soybean,no,no,field,otoe
0.3748,Waterhemp,soybean,yes,no,edges,pawnee
0.9084,Waterhemp,soybean,no,no,field,pawnee
1.1427,Waterhemp,soybean,no,no,field,pawnee
2.3064,Waterhemp,soybean,no,no,field,pawnee
3.0655,Waterhemp,soybean,no,no,field,pawnee
0.0348,Palmer,soybean,no,no,edges,pawnee
0.0050,Palmer,corn,no,yes,edges,perkins
0.0060,Palmer,wheat,no,no,field,perkins
0.0104,Palmer,corn,no,yes,field,perkins
0.0145,Palmer,corn,no,no,field,perkins
0.0304,Palmer,soybean,no,yes,edges,perkins
0.0050,Palmer,soybean,yes,yes,field,phelps
0.0050,Palmer,soybean,yes,yes,edges,phelps
0.0050,Palmer,soybean,yes,yes,edges,phelps
0.2158,Waterhemp,corn,yes,no,field,polk
2.4368,Waterhemp,soybean,no,yes,field,polk
0.0153,Palmer,corn,no,no,edges,red willow
0.0203,Palmer,corn,no,yes,field,red willow
0.0250,Palmer,corn,no,no,edges,red willow
0.0359,Palmer,corn,no,no,field,red willow
0.2913,Waterhemp,soybean,no,no,field,richardson
0.5128,Waterhemp,soybean,yes,no,field,richardson
0.7483,Waterhemp,soybean,no,no,edges,richardson
0.8307,Waterhemp,soybean,no,no,field,richardson
0.8744,Waterhemp,soybean,no,no,field,richardson
1.0164,Waterhemp,soybean,no,no,field,richardson
1.8809,Palmer,soybean,no,no,edges,richardson
0.3490,Waterhemp,soybean,no,no,field,saline
0.6774,Waterhemp,soybean,no,no,field,saline
0.6932,Waterhemp,soybean,no,no,field,saline
0.0050,Palmer,wheat,no,no,field,saline
0.5337,Waterhemp,soybean,no,no,edges,sarpy
0.7627,Waterhemp,soybean,yes,no,field,sarpy
1.2035,Waterhemp,soybean,no,no,field,sarpy
2.0176,Waterhemp,soybean,no,no,field,sarpy
4.0000,Waterhemp,soybean,no,no,field,sarpy
0.4307,Waterhemp,soybean,yes,no,edges,saunders
0.5268,Waterhemp,soybean,,no,edges,saunders
0.5876,Waterhemp,soybean,no,no,field,saunders
0.0000,Redroot,corn,yes,no,field,sherman
0.0000,Redroot,soybean,no,yes,field,sherman
0.0000,Redroot,corn,yes,no,edges,sherman
0.1179,Waterhemp,corn,no,,edges,thayer
0.2599,Waterhemp,soybean,no,yes,edges,thayer
0.2876,Waterhemp,corn,no,yes,edges,thayer
0.4871,Waterhemp,soybean,,,field,thayer
0.0050,Palmer,soybean,no,yes,edges,thayer
0.5661,Palmer,alfalfa,no,no,field,thayer
0.0050,Palmer,corn,yes,no,field,valley
0.0000,Redroot,soybean,yes,yes,field,valley
0.0000,Redroot,soybean,yes,no,field,valley
0.2877,Waterhemp,soybean,no,no,edges,washington
0.6060,Waterhemp,soybean,no,no,field,washington
0.8868,Waterhemp,soybean,no,no,field,washington
1.5099,Waterhemp,soybean,yes,no,field,washington
1.5103,Waterhemp,soybean,no,no,field,washington
2.3113,Waterhemp,soybean,,no,field,washington
