Population,Site,Time,Run,Herbicide,Perc,alive,died,Resistant,PercMolec,AvegGA,PPO
Red 4,PPO,Summer,2,Fomesafen,75,15,5,2 ou 3,67,5,PPX2 _G210
Red 5,PPO,Summer,2,Fomesafen,20,4,16,0 out 3,0,1,None
Cha 3,EPSPS,Winter,1,Glyphosate,5,1,19,4 out 5,80,12,None
Dun 3,EPSPS,Winter,1,Glyphosate,20,4,16,0 out 3,0,1,PPX2 _G210
Dun 4,EPSPS,Winter,1,Glyphosate,0,0,20,5 out 5,100,6,None
Dun 5,EPSPS,Winter,1,Glyphosate,60,12,8,5 out 5,100,24,PPX2 _G210
Hay 1,EPSPS,Winter,1,Glyphosate,45,9,11,0 out 3,0,1,PPX2 _G210
Hay 3 ,EPSPS,Winter,1,Glyphosate,100,20,0,0 out 3,0,1,PPX2 _G210
Hay 4,EPSPS,Winter,1,Glyphosate,0,0,20,0 out 3,0,1,PPX2 _G210
Kei 2,EPSPS,Winter,1,Glyphosate,30,6,14,3 out 3,100,12,PPX2 _G210
Kei 3,EPSPS,Winter,1,Glyphosate,45,9,11,0 out 5,0,1,None
Kei 5,EPSPS,Winter,1,Glyphosate,35,7,13,2 out 3,67,7,PPX2 _G210
Kei 6,EPSPS,Winter,1,Glyphosate,75,15,5,4 out 5,80,21,None
Log 1,EPSPS,Winter,1,Glyphosate,25,5,15,2 out 3,67,50,PPX2 _G210
Log 2,EPSPS,Winter,1,Glyphosate,50,10,10,0 out 3,0,1,None
Log 4,EPSPS,Winter,1,Glyphosate,5,1,19,2 out 3,67,5,PPX2 _G210
Per 2,EPSPS,Winter,1,Glyphosate,80,16,4,4 out 5,80,39,None
Per 4,EPSPS,Winter,1,Glyphosate,35,7,13,2 out 5,67,14,None
Red 2,EPSPS,Winter,1,Glyphosate,100,20,0,1 out 3,33,3,PPX2 _G210
Red 4,EPSPS,Winter,1,Glyphosate,35,7,13,1 out 3,33,5,PPX2 _G210
Red 5,EPSPS,Winter,1,Glyphosate,0,0,20,0 out 5,0,1,None
Cha 3,PPO,Winter,1,Fomesafen,100,20,0,0 out 3,0,12,None
Dun 3,PPO,Winter,1,Fomesafen,85,17,3,2 out 3,67,1,PPX2 _G210
Dun 4,PPO,Winter,1,Fomesafen,100,20,0,0 out 3,0,6,None
Dun 5,PPO,Winter,1,Fomesafen,35,7,13,1 out 5,20,24,PPX2 _G210
Hay 1,PPO,Winter,1,Fomesafen,90,18,2,3 out 3,100,1,PPX2 _G210
Hay 3 ,PPO,Winter,1,Fomesafen,95,19,1,3 ou 3,100,1,PPX2 _G210
Hay 4,PPO,Winter,1,Fomesafen,70,14,6,2 ou 3,67,1,PPX2 _G210
Kei 2,PPO,Winter,1,Fomesafen,80,16,4,1 out 3,33,12,PPX2 _G210
Kei 3,PPO,Winter,1,Fomesafen,15,3,17,0 out 3,0,1,None
Kei 5,PPO,Winter,1,Fomesafen,75,15,5,2 out 3,67,7,PPX2 _G210
Kei 6,PPO,Winter,1,Fomesafen,80,16,4,0 ou 3,0,17,None
Log 1,PPO,Winter,1,Fomesafen,65,13,7,1 out 3,33,34,PPX2 _G210
Log 2,PPO,Winter,1,Fomesafen,85,17,3,0 out 3,0,1,None
Log 4,PPO,Winter,1,Fomesafen,85,17,3,2 out 3,67,5,PPX2 _G210
Per 2,PPO,Winter,1,Fomesafen,90,18,2,0 out 3,0,39,None
Per 4,PPO,Winter,1,Fomesafen,100,20,0,0 out 3,0,14,None
Red 2,PPO,Winter,1,Fomesafen,100,20,0,2 ou 3,67,3,PPX2 _G210
Red 4,PPO,Winter,1,Fomesafen,100,20,0,2 ou 3,67,5,PPX2 _G210
Red 5,PPO,Winter,1,Fomesafen,90,18,2,0 out 3,0,1,None
Cha 3,PPO,Fall,3,Lactofen,10,2,18,0 out 3,0,12,None
Dun 3,PPO,Fall,3,Lactofen,0,0,20,2 out 3,67,1,PPX2 _G210
Dun 4,PPO,Fall,3,Lactofen,10,2,18,0 out 3,0,6,None
Dun 5,PPO,Fall,3,Lactofen,0,0,20,1 out 5,20,24,PPX2 _G210
Hay 1,PPO,Fall,3,Lactofen,10,2,18,3 out 3,100,1,PPX2 _G210
Hay 3 ,PPO,Fall,3,Lactofen,0,0,20,3 ou 3,100,1,PPX2 _G210
Hay 4,PPO,Fall,3,Lactofen,10,2,18,2 ou 3,67,1,PPX2 _G210
Kei 2,PPO,Fall,3,Lactofen,0,0,20,1 out 3,33,12,PPX2 _G210
Kei 3,PPO,Fall,3,Lactofen,10,2,18,0 out 3,0,1,None
Kei 5,PPO,Fall,3,Lactofen,0,0,20,2 out 3,67,7,PPX2 _G210
Kei 6,PPO,Fall,3,Lactofen,25,5,15,0 ou 3,0,21,None
Log 1,PPO,Fall,3,Lactofen,0,0,20,1 out 3,33,50,PPX2 _G210
Log 2,PPO,Fall,3,Lactofen,0,0,20,0 out 3,0,1,None
Log 4,PPO,Fall,3,Lactofen,0,0,20,2 out 3,67,5,PPX2 _G210
Per 2,PPO,Fall,3,Lactofen,50,10,10,0 out 3,0,39,None
Per 4,PPO,Fall,3,Lactofen,10,2,18,0 out 3,0,14,None
Red 2,PPO,Fall,3,Lactofen,5,1,19,2 ou 3,67,3,PPX2 _G210
Red 4,PPO,Fall,3,Lactofen,15,3,17,2 ou 3,67,5,PPX2 _G210
Red 5,PPO,Fall,3,Lactofen,15,3,17,0 out 3,0,1,None
Cha 3,PPO,Fall,3,Fomesafen,0,0,20,0 out 3,0,12,None
Dun 3,PPO,Fall,3,Fomesafen,15,3,17,2 out 3,67,1,PPX2 _G210
Dun 4,PPO,Fall,3,Fomesafen,0,0,20,0 out 3,0,6,None
Dun 5,PPO,Fall,3,Fomesafen,0,0,20,1 out 5,20,24,PPX2 _G210
Hay 1,PPO,Fall,3,Fomesafen,35,7,13,3 out 3,100,1,PPX2 _G210
Hay 3 ,PPO,Fall,3,Fomesafen,5,1,19,3 ou 3,100,1,PPX2 _G210
Hay 4,PPO,Fall,3,Fomesafen,5,1,19,2 ou 3,67,1,PPX2 _G210
Kei 2,PPO,Fall,3,Fomesafen,0,0,20,1 out 3,33,12,PPX2 _G210
Kei 3,PPO,Fall,3,Fomesafen,20,4,16,0 out 3,0,1,None
Kei 5,PPO,Fall,3,Fomesafen,5,1,19,2 out 3,67,7,PPX2 _G210
Kei 6,PPO,Fall,3,Fomesafen,20,4,16,0 ou 3,0,17,None
Log 1,PPO,Fall,3,Fomesafen,0,0,20,1 out 3,33,34,PPX2 _G210
Log 2,PPO,Fall,3,Fomesafen,0,0,20,0 out 3,0,1,None
Log 4,PPO,Fall,3,Fomesafen,20,4,16,2 out 3,67,5,PPX2 _G210
Per 2,PPO,Fall,3,Fomesafen,5,1,19,0 out 3,0,39,None
Per 4,PPO,Fall,3,Fomesafen,5,1,19,0 out 3,0,14,None
Red 2,PPO,Fall,3,Fomesafen,5,1,19,2 ou 3,67,3,PPX2 _G210
Red 4,PPO,Fall,3,Fomesafen,15,3,17,2 ou 3,67,5,PPX2 _G210
Red 5,PPO,Fall,3,Fomesafen,5,1,19,0 out 3,0,1,None
Cha 3,EPSPS,Summer,2,Glyphosate,35,7,13,4 out 5,80,12,None
Dun 3,EPSPS,Summer,2,Glyphosate,0,0,20,0 out 3,0,1,PPX2 _G210
Dun 4,EPSPS,Summer,2,Glyphosate,20,4,16,5 out 5,100,6,None
Dun 5,EPSPS,Summer,2,Glyphosate,15,3,17,5 out 5,100,24,PPX2 _G210
Hay 1,EPSPS,Summer,2,Glyphosate,5,1,19,0 out 3,0,1,PPX2 _G210
Hay 3 ,EPSPS,Summer,2,Glyphosate,0,0,20,0 out 3,0,1,PPX2 _G210
Hay 4,EPSPS,Summer,2,Glyphosate,0,0,20,0 out 3,0,1,PPX2 _G210
Kei 2,EPSPS,Summer,2,Glyphosate,15,3,17,3 out 3,100,12,PPX2 _G210
Kei 3,EPSPS,Summer,2,Glyphosate,0,0,20,0 out 5,0,1,None
Kei 5,EPSPS,Summer,2,Glyphosate,35,7,13,2 out 3,67,7,PPX2 _G210
Kei 6,EPSPS,Summer,2,Glyphosate,25,5,15,4 out 5,80,21,None
Log 1,EPSPS,Summer,2,Glyphosate,35,7,13,2 out 3,67,50,PPX2 _G210
Log 2,EPSPS,Summer,2,Glyphosate,0,0,20,0 out 3,0,1,None
Log 4,EPSPS,Summer,2,Glyphosate,15,3,17,2 out 3,67,5,PPX2 _G210
Per 2,EPSPS,Summer,2,Glyphosate,35,7,13,4 out 5,80,39,None
Per 4,EPSPS,Summer,2,Glyphosate,15,3,17,2 out 5,67,14,None
Red 2,EPSPS,Summer,2,Glyphosate,5,1,19,1 out 3,33,3,PPX2 _G210
Red 4,EPSPS,Summer,2,Glyphosate,35,7,13,1 out 3,33,5,PPX2 _G210
Red 5,EPSPS,Summer,2,Glyphosate,15,3,17,0 out 5,0,1,None
Cha 3,PPO,Summer,2,Fomesafen,10,2,18,0 out 3,0,12,None
Dun 3,PPO,Summer,2,Fomesafen,5,1,19,2 out 3,67,1,PPX2 _G210
Dun 4,PPO,Summer,2,Fomesafen,0,0,20,0 out 3,0,6,None
Dun 5,PPO,Summer,2,Fomesafen,0,0,20,1 out 5,20,24,PPX2 _G210
Hay 1,PPO,Summer,2,Fomesafen,0,0,20,3 out 3,100,1,PPX2 _G210
Hay 3 ,PPO,Summer,2,Fomesafen,0,0,20,3 ou 3,100,1,PPX2 _G210
Hay 4,PPO,Summer,2,Fomesafen,0,0,20,2 ou 3,67,1,PPX2 _G210
Kei 2,PPO,Summer,2,Fomesafen,10,2,18,1 out 3,33,12,PPX2 _G210
Kei 3,PPO,Summer,2,Fomesafen,10,2,18,0 out 3,0,1,None
Kei 5,PPO,Summer,2,Fomesafen,0,0,20,2 out 3,67,7,PPX2 _G210
Kei 6,PPO,Summer,2,Fomesafen,5,1,19,0 ou 3,0,17,None
Log 1,PPO,Summer,2,Fomesafen,0,0,20,1 out 3,33,34,PPX2 _G210
Log 2,PPO,Summer,2,Fomesafen,5,1,19,0 out 3,0,1,None
Log 4,PPO,Summer,2,Fomesafen,5,1,19,2 out 3,67,5,PPX2 _G210
Per 2,PPO,Summer,2,Fomesafen,0,0,20,0 out 3,0,39,None
Per 4,PPO,Summer,2,Fomesafen,0,0,20,0 out 3,0,14,None
Red 2,PPO,Summer,2,Fomesafen,0,0,20,2 ou 3,67,3,PPX2 _G210
Red 4,PPO,Summer,2,Fomesafen,5,1,19,2 ou 3,67,5,PPX2 _G210
Red 5,PPO,Summer,2,Fomesafen,5,1,19,0 out 3,0,1,None
Cha 3,EPSPS,Winter,1,Glyphosate,70,14,6,4 out 5,80,12,None
Dun 3,EPSPS,Winter,1,Glyphosate,0,0,20,0 out 3,0,1,PPX2 _G210
Dun 4,EPSPS,Winter,1,Glyphosate,100,20,0,5 out 5,100,6,None
Dun 5,EPSPS,Winter,1,Glyphosate,0,0,20,5 out 5,100,24,PPX2 _G210
Hay 1,EPSPS,Winter,1,Glyphosate,10,2,18,0 out 3,0,1,PPX2 _G210
Hay 3 ,EPSPS,Winter,1,Glyphosate,0,0,20,0 out 3,0,1,PPX2 _G210
Hay 4,EPSPS,Winter,1,Glyphosate,90,18,2,0 out 3,0,1,PPX2 _G210
Kei 2,EPSPS,Winter,1,Glyphosate,60,12,8,3 out 3,100,12,PPX2 _G210
Kei 3,EPSPS,Winter,1,Glyphosate,45,9,11,0 out 5,0,1,None
Kei 5,EPSPS,Winter,1,Glyphosate,65,13,7,2 out 3,67,7,PPX2 _G210
Kei 6,EPSPS,Winter,1,Glyphosate,20,4,16,4 out 5,80,21,None
Log 1,EPSPS,Winter,1,Glyphosate,75,15,5,2 out 3,67,50,PPX2 _G210
Log 2,EPSPS,Winter,1,Glyphosate,15,3,17,0 out 3,0,1,None
Log 4,EPSPS,Winter,1,Glyphosate,95,19,1,2 out 3,67,5,PPX2 _G210
Per 2,EPSPS,Winter,1,Glyphosate,20,4,16,4 out 5,80,39,None
Per 4,EPSPS,Winter,1,Glyphosate,45,9,11,2 out 5,67,14,None
Red 2,EPSPS,Winter,1,Glyphosate,0,0,20,1 out 3,33,3,PPX2 _G210
Red 4,EPSPS,Winter,1,Glyphosate,55,11,9,1 out 3,33,5,PPX2 _G210
Red 5,EPSPS,Winter,1,Glyphosate,100,20,0,0 out 5,0,1,None
Cha 3,PPO,Winter,1,Fomesafen,0,0,20,0 out 3,0,12,None
Dun 3,PPO,Winter,1,Fomesafen,0,0,20,2 out 3,67,1,PPX2 _G210
Dun 4,PPO,Winter,1,Fomesafen,0,0,20,0 out 3,0,6,None
Dun 5,PPO,Winter,1,Fomesafen,0,0,20,1 out 5,20,24,PPX2 _G210
Hay 1,PPO,Winter,1,Fomesafen,0,0,20,3 out 3,100,1,PPX2 _G210
Hay 3 ,PPO,Winter,1,Fomesafen,0,0,20,3 ou 3,100,1,PPX2 _G210
Hay 4,PPO,Winter,1,Fomesafen,0,0,20,2 ou 3,67,1,PPX2 _G210
Kei 2,PPO,Winter,1,Fomesafen,0,0,20,1 out 3,33,12,PPX2 _G210
Kei 3,PPO,Winter,1,Fomesafen,0,0,20,0 out 3,0,1,None
Kei 5,PPO,Winter,1,Fomesafen,5,1,19,2 out 3,67,7,PPX2 _G210
Kei 6,PPO,Winter,1,Fomesafen,0,0,20,0 ou 3,0,17,None
Log 1,PPO,Winter,1,Fomesafen,0,0,20,1 out 3,33,34,PPX2 _G210
Log 2,PPO,Winter,1,Fomesafen,10,2,18,0 out 3,0,1,None
Log 4,PPO,Winter,1,Fomesafen,0,0,20,2 out 3,67,5,PPX2 _G210
Per 2,PPO,Winter,1,Fomesafen,5,1,19,0 out 3,0,39,None
Per 4,PPO,Winter,1,Fomesafen,0,0,20,0 out 3,0,14,None
Red 2,PPO,Winter,1,Fomesafen,0,0,20,2 ou 3,67,3,PPX2 _G210
Red 4,PPO,Winter,1,Fomesafen,0,0,20,2 ou 3,67,5,PPX2 _G210
Red 5,PPO,Winter,1,Fomesafen,5,1,19,0 out 3,0,1,None
Cha 3,PPO,Fall,3,Lactofen,0,0,20,0 out 3,0,12,None
Dun 3,PPO,Fall,3,Lactofen,0,0,20,2 out 3,67,1,PPX2 _G210
Dun 4,PPO,Fall,3,Lactofen,0,0,20,0 out 3,0,6,None
Dun 5,PPO,Fall,3,Lactofen,0,0,20,1 out 5,20,24,PPX2 _G210
Hay 1,PPO,Fall,3,Lactofen,0,0,20,3 out 3,100,1,PPX2 _G210
Hay 3 ,PPO,Fall,3,Lactofen,0,0,20,3 ou 3,100,1,PPX2 _G210
Hay 4,PPO,Fall,3,Lactofen,0,0,20,2 ou 3,67,1,PPX2 _G210
Kei 2,PPO,Fall,3,Lactofen,0,0,20,1 out 3,33,12,PPX2 _G210
Kei 3,PPO,Fall,3,Lactofen,0,0,20,0 out 3,0,1,None
Kei 5,PPO,Fall,3,Lactofen,0,0,20,2 out 3,67,7,PPX2 _G210
Kei 6,PPO,Fall,3,Lactofen,0,0,20,0 ou 3,0,21,None
Log 1,PPO,Fall,3,Lactofen,0,0,20,1 out 3,33,50,PPX2 _G210
Log 2,PPO,Fall,3,Lactofen,0,0,20,0 out 3,0,1,None
Log 4,PPO,Fall,3,Lactofen,0,0,20,2 out 3,67,5,PPX2 _G210
Per 2,PPO,Fall,3,Lactofen,0,0,20,0 out 3,0,39,None
Per 4,PPO,Fall,3,Lactofen,0,0,20,0 out 3,0,14,None
Red 2,PPO,Fall,3,Lactofen,0,0,20,2 ou 3,67,3,PPX2 _G210
Red 4,PPO,Fall,3,Lactofen,0,0,20,2 ou 3,67,5,PPX2 _G210
Red 5,PPO,Fall,3,Lactofen,0,0,20,0 out 3,0,1,None
Cha 3,PPO,Fall,3,Fomesafen,0,0,20,0 out 3,0,12,None
Dun 3,PPO,Fall,3,Fomesafen,0,0,20,2 out 3,67,1,PPX2 _G210
Dun 4,PPO,Fall,3,Fomesafen,0,0,20,0 out 3,0,6,None
Dun 5,PPO,Fall,3,Fomesafen,0,0,20,1 out 5,20,24,PPX2 _G210
Hay 1,PPO,Fall,3,Fomesafen,0,0,20,3 out 3,100,1,PPX2 _G210
Hay 3 ,PPO,Fall,3,Fomesafen,0,0,20,3 ou 3,100,1,PPX2 _G210
Hay 4,PPO,Fall,3,Fomesafen,0,0,20,2 ou 3,67,1,PPX2 _G210
Kei 2,PPO,Fall,3,Fomesafen,0,0,20,1 out 3,33,12,PPX2 _G210
Kei 3,PPO,Fall,3,Fomesafen,0,0,20,0 out 3,0,1,None
Kei 5,PPO,Fall,3,Fomesafen,0,0,20,2 out 3,67,7,PPX2 _G210
Kei 6,PPO,Fall,3,Fomesafen,0,0,20,0 ou 3,0,17,None
Log 1,PPO,Fall,3,Fomesafen,0,0,20,1 out 3,33,34,PPX2 _G210
Log 2,PPO,Fall,3,Fomesafen,0,0,20,0 out 3,0,1,None
Log 4,PPO,Fall,3,Fomesafen,0,0,20,2 out 3,67,5,PPX2 _G210
Per 2,PPO,Fall,3,Fomesafen,0,0,20,0 out 3,0,39,None
Per 4,PPO,Fall,3,Fomesafen,0,0,20,0 out 3,0,14,None
Red 2,PPO,Fall,3,Fomesafen,0,0,20,2 ou 3,67,3,PPX2 _G210
Red 4,PPO,Fall,3,Fomesafen,0,0,20,2 ou 3,67,5,PPX2 _G210
Red 5,PPO,Fall,3,Fomesafen,0,0,20,0 out 3,0,1,None
Red 4,PPO,Spring19,4,Lactofen,10,2,18,2 ou 3,67,5,PPX2 _G210
Kei 5,PPO,Spring19,4,Lactofen,0,0,20,2 out 3,67,7,PPX2 _G210
Per 4,PPO,Spring19,4,Lactofen,10,2,18,0 out 3,0,14,None
Red 2,PPO,Spring19,4,Lactofen,25,5,15,2 ou 3,67,3,PPX2 _G210
Per 2,PPO,Spring19,4,Lactofen,20,4,16,0 out 3,0,39,None
Kei 6,PPO,Spring19,4,Lactofen,10,2,18,0 ou 3,0,17,None
Dun 5,PPO,Spring19,4,Lactofen,0,0,20,1 out 5,20,24,PPX2 _G210
Hay 1,PPO,Spring19,4,Lactofen,35,7,13,3 out 3,100,1,PPX2 _G210
Kei 3,PPO,Spring19,4,Lactofen,15,3,17,0 out 3,0,1,None
Cha 3,PPO,Spring19,4,Lactofen,20,4,16,0 out 3,0,12,None
Dun 3,PPO,Spring19,4,Lactofen,15,3,17,2 out 3,67,1,PPX2 _G210
Log 4,PPO,Spring19,4,Lactofen,0,0,20,2 out 3,67,5,PPX2 _G210
Hay 4,PPO,Spring19,4,Lactofen,10,2,18,2 ou 3,67,1,PPX2 _G210
Log 1,PPO,Spring19,4,Lactofen,10,2,18,1 out 3,33,34,PPX2 _G210
Kei 2,PPO,Spring19,4,Lactofen,0,0,20,1 out 3,33,12,PPX2 _G210
Dun 4,PPO,Spring19,4,Lactofen,10,2,18,0 out 3,0,6,None
Hay 3 ,PPO,Spring19,4,Lactofen,10,2,18,3 ou 3,100,1,PPX2 _G210
Log 2,PPO,Spring19,4,Lactofen,0,0,20,0 out 3,0,1,None
Red 5,PPO,Spring19,4,Lactofen,0,0,20,0 out 3,0,1,None
Red 4,PPO,Spring19,4,Fomesafen,0,0,20,2 ou 3,67,5,PPX2 _G210
Kei 5,PPO,Spring19,4,Fomesafen,15,3,17,2 out 3,67,7,PPX2 _G210
Per 4,PPO,Spring19,4,Fomesafen,15,3,17,0 out 3,0,14,None
Red 2,PPO,Spring19,4,Fomesafen,15,3,17,2 ou 3,67,3,PPX2 _G210
Per 2,PPO,Spring19,4,Fomesafen,10,2,18,0 out 3,0,39,None
Kei 6,PPO,Spring19,4,Fomesafen,10,2,18,0 ou 3,0,17,None
Dun 5,PPO,Spring19,4,Fomesafen,0,0,20,1 out 5,20,24,PPX2 _G210
Hay 1,PPO,Spring19,4,Fomesafen,45,9,11,3 out 3,100,1,PPX2 _G210
Kei 3,PPO,Spring19,4,Fomesafen,10,2,18,0 out 3,0,1,None
Cha 3,PPO,Spring19,4,Fomesafen,35,7,13,0 out 3,0,12,None
Dun 3,PPO,Spring19,4,Fomesafen,10,2,18,2 out 3,67,1,PPX2 _G210
Log 4,PPO,Spring19,4,Fomesafen,0,0,20,2 out 3,67,5,PPX2 _G210
Hay 4,PPO,Spring19,4,Fomesafen,15,3,17,2 ou 3,67,1,PPX2 _G210
Log 1,PPO,Spring19,4,Fomesafen,15,3,17,1 out 3,33,34,PPX2 _G210
Kei 2,PPO,Spring19,4,Fomesafen,0,0,20,1 out 3,33,12,PPX2 _G210
Dun 4,PPO,Spring19,4,Fomesafen,0,0,20,0 out 3,0,6,None
Hay 3 ,PPO,Spring19,4,Fomesafen,30,6,14,3 ou 3,100,1,PPX2 _G210
Log 2,PPO,Spring19,4,Fomesafen,0,0,20,0 out 3,0,1,None
Red 5,PPO,Spring19,4,Fomesafen,0,0,20,0 out 3,0,1,None
Cha 3,EPSPS,Spring19,4,Glyphosate,85,17,3,4 out 5,80,12,None
Dun 3,EPSPS,Spring19,4,Glyphosate,5,1,19,0 out 3,0,1,PPX2 _G210
Dun 4,EPSPS,Spring19,4,Glyphosate,80,16,4,5 out 5,100,6,None
Dun 5,EPSPS,Spring19,4,Glyphosate,75,15,5,5 out 5,100,24,PPX2 _G210
Hay 1,EPSPS,Spring19,4,Glyphosate,20,4,16,0 out 3,0,1,PPX2 _G210
Hay 3 ,EPSPS,Spring19,4,Glyphosate,0,0,20,0 out 3,0,1,PPX2 _G210
Hay 4,EPSPS,Spring19,4,Glyphosate,35,7,13,0 out 3,0,1,PPX2 _G210
Kei 2,EPSPS,Spring19,4,Glyphosate,95,19,1,3 out 3,100,12,PPX2 _G210
Kei 3,EPSPS,Spring19,4,Glyphosate,5,1,19,0 out 5,0,1,None
Kei 5,EPSPS,Spring19,4,Glyphosate,95,19,1,2 out 3,67,7,PPX2 _G210
Kei 6,EPSPS,Spring19,4,Glyphosate,100,20,0,4 out 5,80,21,None
Log 1,EPSPS,Spring19,4,Glyphosate,95,19,1,2 out 3,67,50,PPX2 _G210
Log 2,EPSPS,Spring19,4,Glyphosate,0,0,20,0 out 3,0,1,None
Log 4,EPSPS,Spring19,4,Glyphosate,85,17,3,2 out 3,67,5,PPX2 _G210
Per 2,EPSPS,Spring19,4,Glyphosate,100,20,0,4 out 5,80,39,None
Per 4,EPSPS,Spring19,4,Glyphosate,60,12,8,2 out 5,67,14,None
Red 2,EPSPS,Spring19,4,Glyphosate,60,12,8,1 out 3,33,3,PPX2 _G210
Red 4,EPSPS,Spring19,4,Glyphosate,85,17,3,1 out 3,33,5,PPX2 _G210
Red 5,EPSPS,Spring19,4,Glyphosate,95,19,1,0 out 5,0,1,None
Cha 3,EPSPS,Spring19,4,Glyphosate,90,18,2,,,12,None
Dun 3,EPSPS,Spring19,4,Glyphosate,90,18,2,,,1,PPX2 _G210
Dun 4,EPSPS,Spring19,4,Glyphosate,100,20,0,,,6,None
Dun 5,EPSPS,Spring19,4,Glyphosate,90,18,2,,,24,PPX2 _G210
Hay 1,EPSPS,Spring19,4,Glyphosate,100,20,0,,,1,PPX2 _G210
Hay 3 ,EPSPS,Spring19,4,Glyphosate,100,20,0,,,1,PPX2 _G210
Hay 4,EPSPS,Spring19,4,Glyphosate,75,15,5,,,1,PPX2 _G210
Kei 2,EPSPS,Spring19,4,Glyphosate,80,16,4,,,12,PPX2 _G210
Kei 3,EPSPS,Spring19,4,Glyphosate,65,13,7,,,1,None
Kei 5,EPSPS,Spring19,4,Glyphosate,60,12,8,,,7,PPX2 _G210
Kei 6,EPSPS,Spring19,4,Glyphosate,65,13,7,4 out 5,80,21,None
Log 1,EPSPS,Spring19,4,Glyphosate,95,19,1,,,50,PPX2 _G210
Log 2,EPSPS,Spring19,4,Glyphosate,95,19,1,,,1,None
Log 4,EPSPS,Spring19,4,Glyphosate,70,14,6,,,5,PPX2 _G210
Per 2,EPSPS,Spring19,4,Glyphosate,100,20,0,,,39,None
Per 4,EPSPS,Spring19,4,Glyphosate,100,20,0,,,14,None
Red 2,EPSPS,Spring19,4,Glyphosate,90,18,2,,,3,PPX2 _G210
Red 4,EPSPS,Spring19,4,Glyphosate,75,15,5,,,5,PPX2 _G210
Red 5,EPSPS,Spring19,4,Glyphosate,90,18,2,,,1,None