geneamp,geneampR,glyresistant,pporesist,multiple,county,population,latitude ,longitude,currentcrop,tillage,irrigation,populationdistribution,populationdensity,herbicideinjury,previouscrop,greenhouse
7,23,yes,no,gly,Chase,Cha.1,40.685468,-101.62101,sorghum,tilled,rainfed,spread,low,no,corn,no
1,3,yes,no,gly,Chase,Cha.2,40.634612,-101.590776,corn,strip-till,centerpivot,spread,high,no,wheatstubble,no
9,12,yes,no,gly,Chase,Cha.3,40.566647,-101.631201,corn,no-till,centerpivot,spread,high,no,fallow/cornstalks,yes
10,23,yes,yes,both,Chase,Cha.4,40.566638,-101.699424,soybeans,no-till,centerpivot,spread,low,no,fallow/cornstalks,no
1,1,no,yes,ppo,Chase,Cha.5,40.557448,-101.760667,corn,strip-till,rainfed,spread,low,no,corn,no
5,8,yes,yes,both,Dundy,Dun.1,40.144524,-101.415029,wheatstubble,tilled,rainfed,spread,intermediate,no,other,no
1,1,no,yes,ppo,Dundy,Dun.2,40.163365,-101.526339,corn,no-till,rainfed,spread,intermediate,no,sorghum,no
1,1,no,yes,ppo,Dundy,Dun.3,40.162482,-101.570355,other,tilled,centerpivot,spread,intermediate,yes,,yes
6,6,yes,no,gly,Dundy,Dun.4,40.173475,-101.644362,corn,no-till,centerpivot,edges,high,yes,corn,yes
24,24,yes,yes,both,Dundy,Dun.5,40.14808,-101.734971,soybeans,tilled,centerpivot,spread,low,no,corn,yes
6,6,yes,yes,both,Frontier,Fro.1,40.585022,-100.47665,corn,no-till,rainfed,edges,high,no,sorghum,no
3,6,yes,yes,both,Frontier,Fro.2,40.540969,-100.398143,soybeans,tilled,rainfed,edges,low,yes,corn,no
5,11,yes,yes,both,Frontier,Fro.3,40.540899,-100.263293,soybeans,tilled,centerpivot,spread,high,yes,wheatstubble,no
1,1,no,yes,ppo,Frontier,Fro.4,40.42332,-100.481296,sorghum,tilled,rainfed,edges,intermediate,no,fallow/cornstalks,no
1,1,no,no,sucep,Frontier,Fro.5,40.416201,-100.585716,soybeans,tilled,centerpivot,edges,high,no,corn,no
1,1,no,yes,ppo,Hayes,Hay.1,40.622278,-100.818085,sorghum,tilled,centerpivot,spread,intermediate,no,fallow/cornstalks,yes
2,3,yes,yes,both,Hayes,Hay.2,40.625317,-101.036986,corn,no-till,rainfed,spread,intermediate,no,wheatstubble,no
2,2,no,yes,ppo,Hayes,Hay.3,40.569543,-101.073034,sorghum,tilled,centerpivot,spread,high,no,wheatstubble,yes
1,1,no,yes,ppo,Hayes,Hay.4,40.415382,-101.055879,corn,no-till,rainfed,edges,intermediate,yes,wheatstubble,yes
1,1,no,no,sucep,Hayes,Hay.5,40.424524,-101.004149,sorghum,no-till,rainfed,spread,high,no,wheatstubble,no
5,20,yes,no,gly,Hitchcock,Hit.1,40.335389,-101.139517,corn,tilled,centerpivot,edges,low,no,fallow/cornstalks,no
21,30,yes,no,gly,Hitchcock,Hit.2,40.284923,-101.123414,soybeans,no-till,rainfed,spread,low,no,corn,no
3,6,yes,yes,both,Hitchcock,Hit.3,40.216374,-101.124232,corn,no-till,rainfed,edges,high,no,corn,no
2,3,yes,no,gly,Hitchcock,Hit.4,40.219716,-100.933308,sorghum,no-till,rainfed,edges,high,no,wheatstubble,no
1,1,no,yes,ppo,Hitchcock,Hit.5,40.20569,-100.826568,soybeans,no-till,centerpivot,edges,high,no,corn,no
13,38,yes,yes,both,Keith,Kei.1,41.163793,-101.443197,other,tilled,centerpivot,spread,high,no,fallow/cornstalks,no
12,12,yes,yes,both,Keith,Kei.2,41.170795,-101.477058,corn,no-till,centerpivot,spread,intermediate,yes,fallow/cornstalks,yes
1,1,no,no,sucep,Keith,Kei.3,41.112656,-101.814853,soybeans,tilled,furrow,spread,high,no,,yes
8,12,yes,no,gly,Keith,Kei.4,41.105328,-101.854665,soybeans,no-till,centerpivot,spread,low,no,,no
5,7,yes,yes,both,Keith,Kei.5,41.072661,-101.883254,other,tilled,centerpivot,spread,low,no,corn,yes
17,21,yes,no,gly,Keith,Kei.6,41.090923,-101.7586,soybeans,no-till,centerpivot,spread,high,no,,yes
1,1,no,yes,ppo,Lincoln,Lin.1,41.070242,-100.523869,corn,no-till,centerpivot,spread,high,no,other,no
5,5,yes,yes,both,Lincoln,Lin.2,41.04679,-100.597546,soybeans,tilled,centerpivot,spread,low,yes,corn,no
4,5,yes,yes,both,Lincoln,Lin.3,41.076055,-100.677006,soybeans,tilled,centerpivot,spread,low,yes,,no
3,6,yes,yes,both,Lincoln,Lin.4,41.090601,-100.781644,corn,tilled,furrow,spread,high,no,,no
1,1,no,no,sucep,Lincoln,Lin.5,41.082532,-100.848936,corn,no-till,rainfed,spread,high,no,wheatstubble,no
34,50,yes,yes,both,Logan,Log.1,41.407938,-100.473926,soybeans,tilled,centerpivot,edges,intermediate,no,fallow/cornstalks,yes
1,1,no,no,sucep,Logan,Log.2,41.408019,-100.407051,other,no-till,rainfed,spread,intermediate,no,fallow/cornstalks,yes
4,6,yes,yes,both,Logan,Log.3,41.407927,-100.391383,soybeans,tilled,centerpivot,edges,high,yes,corn,no
3,5,yes,yes,both,Logan,Log.4,41.382704,-100.446747,soybeans,tilled,rainfed,spread,low,no,corn,yes
1,1,no,yes,ppo,Perkins,Per.1,40.885212,-101.84097,other,no-till,rainfed,spread,low,no,sorghum,no
32,39,yes,no,gly,Perkins,Per.2,40.881178,-101.840939,soybeans,strip-till,centerpivot,spread,intermediate,no,corn,yes
1,1,no,no,sucep,Perkins,Per.3,40.814409,-101.775249,fallow/cornstalks,tilled,rainfed,spread,high,no,corn,no
10,14,yes,no,gly,Perkins,Per.4,40.852538,-101.706116,soybeans,no-till,centerpivot,spread,high,yes,corn,yes
1,1,no,yes,ppo,Perkins,Per.5,40.843726,-101.623288,other,no-till,centerpivot,spread,intermediate,no,fallow/cornstalks,no
1,1,no,yes,ppo,Perkins,Per.6,40.843834,-101.575231,other,no-till,centerpivot,spread,high,yes,fallow/cornstalks,no
2,3,yes,yes,both,Red Willow,Red.1,40.253016,-100.735672,soybeans,no-till,centerpivot,edges,high,yes,corn,no
2,3,yes,yes,both,Red Willow,Red.2,40.183597,-100.697959,corn,tilled,centerpivot,edges,high,yes,corn,yes
2,6,yes,yes,both,Red Willow,Red.3,40.119661,-100.561002,wheatstubble,no-till,rainfed,spread,intermediate,no,wheat,no
2,5,yes,yes,both,Red Willow,Red.4,40.089701,-100.458605,corn,no-till,rainfed,spread,low,yes,corn,yes
1,1,no,no,sucep,Red Willow,Red.5,40.206921,-100.497,fallow/cornstalks,no-till,rainfed,spread,high,yes,corn,yes